step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
113,-1342.949941943837,-1348.8779811810682,5.71060994860095,0.514440738405858,-18.76558108371225,0.11411133475389766,0.08340325575516057,nan
114,-1343.4502943123907,-1349.4350192665197,5.766856118021211,0.5147795655716125,-18.801181030040624,0.11400341079272179,0.0834284488753098,nan
115,-1344.0546761007372,-1350.053896667042,5.780914486915922,0.5150004937621069,-18.836785523774683,0.1138955823646309,0.08385597035561529,nan
116,-1344.8743842933422,-1350.712217644426,5.619091788886838,0.5151366237862536,-18.87238345918761,0.11378784956665275,0.08428871568704548,nan
117,-1345.2630301026325,-1351.2557960383779,5.7735906500295044,0.5151907708603487,-18.90797029631387,0.11368021325766889,0.08471591925907755,nan
118,-1345.9554466096095,-1351.8825107699413,5.707457086762407,0.515151102238115,-18.943551649098456,0.11357267247657664,0.08495765078421419,nan
119,-1346.3210305835332,-1352.3735250843995,5.832452227707236,0.5152809189141512,-18.97912107279977,0.1134652274074353,0.08529183214266373,nan
120,-1346.9610111289903,-1352.996067644085,5.814572306198985,0.5157134002245805,-19.014725852202666,0.11335787721087692,0.08551002481950694,nan
121,-1347.6012761574482,-1353.6296622476607,5.8074562801298315,0.5163090615002295,-19.050349109942033,0.1132506220243492,0.08565484719891758,nan
122,-1348.182797068102,-1354.2231251034705,5.81895245100357,0.5169092671368354,-19.08597248449558,0.11314346206033732,0.08572726449569432,nan
123,-1348.8509023458628,-1354.8413855250933,5.768660381243437,0.5175823071593771,-19.121583845315172,0.11303639699328344,0.08582993256855508,nan
124,-1349.458956484869,-1355.4340314882452,5.752803723173145,0.5183130338782613,-19.157194507545448,0.11292942742955184,0.08584804233326601,nan
125,-1349.9461973477094,-1356.0051618630791,5.836244907442712,0.5190342337110859,-19.19280180999133,0.11282255310218961,0.08590838708689945,nan
126,-1350.7404193336795,-1356.6668962138583,5.703310768485969,0.5196620432342632,-19.228411909896494,0.1127157735951993,0.08582931417706374,nan
127,-1351.2208253484393,-1357.2300906240503,5.785651711187177,0.5203358352587366,-19.264014927927633,0.11260908978258342,0.0859191868755331,nan
128,-1351.8250322805966,-1357.8238527469994,5.774761348608719,0.5209159778220012,-19.299615631816916,0.11250250099914912,0.0860061719053615,nan
129,-1352.4059619305533,-1358.421380073327,5.7909150019662805,0.5214206618613234,-19.335213721684802,0.11239600719176988,0.08599319406988112,nan
130,-1353.026349322556,-1359.0246419459568,5.7733516602109,0.5216263467764062,-19.37080917340936,0.11228960835447437,0.08601202609629369,nan
131,-1353.6347049880815,-1359.6132450940404,5.753161888293867,0.5218058063751205,-19.406397752666365,0.11218330430727726,0.0861323955859806,nan
132,-1354.3889493911931,-1360.2639174411431,5.649154348708111,0.5218940028610031,-19.441992231970836,0.11207709520107781,0.08630899381702695,nan
133,-1354.8566659876317,-1360.8179656341845,5.735051149207624,0.5219512662696386,-19.477578255614866,0.11197098150123631,0.08655551317904804,nan
134,-1355.5875649008622,-1361.469509945844,5.655262231685049,0.5219825739372448,-19.513164346019092,0.11186496251733194,0.08672278192077032,nan
135,-1355.9932617138077,-1362.0343835509361,5.814011528666367,0.5216978320311401,-19.548727121701212,0.11175903862154259,0.08698322124081899,nan
136,-1356.6909034451785,-1362.6306374330363,5.712194061110658,0.5215247220885397,-19.584267832154758,0.11165320902676412,0.08728572177837558,nan
